ateneu_roig,elena_sala
VictorCervello,elena_sala
hibakusha,elena_sala
mercemuletDEX,elena_sala
IreneAldabert,La_Sousa_
AlonsoCefe,La_Sousa_
antoniolopez555,La_Sousa_
margrifol,La_Sousa_
elferranet,La_Sousa_
ComiteIntBDN,La_Sousa_
100x100dogmatix,La_Sousa_
adriaalca,La_Sousa_
Andreumasd,La_Sousa_
CSQEPViladecans,La_Sousa_
anxobaranga,La_Sousa_
Kolibriki,La_Sousa_
marcsallas,La_Sousa_
faberense,La_Sousa_
JosepTellez,La_Sousa_
falfambra,La_Sousa_
Revolucio_Demos,La_Sousa_
jguaschbdn,La_Sousa_
ShaColau,La_Sousa_
SanIllescas,La_Sousa_
cupbadalona,La_Sousa_
Antonia_cg,La_Sousa_
saramunozn,La_Sousa_
AnticapiBNord,La_Sousa_
devotxCardenete,La_Sousa_
fduranv,La_Sousa_
rocderevolta,La_Sousa_
lopezjordi60,La_Sousa_
jackie_mace,La_Sousa_
PodemBDN_CC,La_Sousa_
Canino_Felino,La_Sousa_
RogerSallas,La_Sousa_
GuanyemBDN,La_Sousa_
TereTeremv77,La_Sousa_
comunistescat,La_Sousa_
LouisDelarche,La_Sousa_
llambordes,La_Sousa_
AdriSaMu,La_Sousa_
marcosortegac,La_Sousa_
ToniEsteban77,La_Sousa_
AnaRuizal,La_Sousa_
maeugesancar,La_Sousa_
oussedik,La_Sousa_
AndruLlabi,La_Sousa_
ogu4je,La_Sousa_
Palestina_cat,La_Sousa_
aracomunistes,La_Sousa_
margabo19171,La_Sousa_
TioUco,La_Sousa_
bernat_mg,La_Sousa_
xavicabreraf,La_Sousa_
brigadistes,La_Sousa_
EramosBDN,La_Sousa_
ToniCamposAlos,La_Sousa_
isabelsantosl,La_Sousa_
XSP_LaXarxa,La_Sousa_
NoeliaSnchez1,La_Sousa_
alicia_valencia,La_Sousa_
riveraajl,La_Sousa_
yobadac,La_Sousa_
AdriaAparicio,La_Sousa_
devotsBDN,La_Sousa_
vagadel99,La_Sousa_
gosdiogenes,La_Sousa_
AvantComunistes,La_Sousa_
pcdecatalunya,La_Sousa_
SalvaTorres3,La_Sousa_
llorenscudero,La_Sousa_
llefia,La_Sousa_
Ch_Carneado,La_Sousa_
MarcNanuve,La_Sousa_
BDNFEMCULTURA,La_Sousa_
angelbadalona,La_Sousa_
vietnamitas,La_Sousa_
la_llamborda,La_Sousa_
AgoraBdn,La_Sousa_
AssembleaBDN,La_Sousa_
Inflexio,La_Sousa_
AllendeBadalona,La_Sousa_
Natt_mrtinez,La_Sousa_
comissiofestes,La_Sousa_
Oscarllllll,La_Sousa_
ateneu_roig,La_Sousa_
la_nueralcharro,La_Sousa_
scaravaca,La_Sousa_
josepduranbdn,La_Sousa_
Fransteller,La_Sousa_
PobleLliure_PV,La_Sousa_
JordiGarcia06,La_Sousa_
kaluroja,La_Sousa_
EPbadalona,La_Sousa_
Albabr9,La_Sousa_
Alfonsoiaio,La_Sousa_
Garbo1917,La_Sousa_
Petrotsky,La_Sousa_
NUET,La_Sousa_
comunistes,La_Sousa_
Uberberlinette,La_Sousa_
CCulturaBanamex,La_Sousa_
julmolbar,La_Sousa_
christian_mro,La_Sousa_
lmtbadalona,La_Sousa_
celescolorado,La_Sousa_
AidaLlaurado,La_Sousa_
mariadolorsa,La_Sousa_
iaioflautas,La_Sousa_
jcc_cat,La_Sousa_
omniumbdn,La_Sousa_
aPelRoig,La_Sousa_
hibakusha,La_Sousa_
tonillefia,La_Sousa_
nreska,La_Sousa_
collamicaco,La_Sousa_
InKiLiNo,La_Sousa_
antoinemarti,La_Sousa_
marianitu,La_Sousa_
EspardenyaCAT,hugomabarca
bipartidismo_no,hugomabarca
aureliers,hugomabarca
DanJBlake,hugomabarca
Aranda7Anna,hugomabarca
xavi_cs,hugomabarca
AndruLlabi,hugomabarca
Carkinyolis,hugomabarca
es_fiestaparty,hugomabarca
yobadac,hugomabarca
catvotagarzon,hugomabarca
DraOndina,hugomabarca
PabloMolano_,hugomabarca
jsChucky,hugomabarca
DataBeersBCN,apps4citizens
DavidMartinB,apps4citizens
BorisValls,apps4citizens
KateSB,apps4citizens
Eun_Ate,apps4citizens
aleixrvr,apps4citizens
gemmagaldon,apps4citizens
outliers_es,apps4citizens
btvnoticies,apps4citizens
toret,apps4citizens
SuNotissima,apps4citizens
djkram,apps4citizens
goteofunding,apps4citizens
dalvarez37,apps4citizens
tpuigg,apps4citizens
ebenach,apps4citizens
elaragon,apps4citizens
ictlogist,apps4citizens
NoCiu_BCN,edermardo
ealogar,comitebcn
SantiagoDobon,comitebcn
Juanter,comitebcn
calabozo,comitebcn
cachocalne,comitebcn
mvpa,comitebcn
miceno,comitebcn
rojorge,comitebcn
davidcadi,comitebcn
inesvidal,comitebcn
interdetta,comitebcn
caenco,comitebcn
tonicebrian,comitebcn
enriqueurrea,comitebcn
La_Sousa_,antoniolopez555
lou_marius,antoniolopez555
100x100dogmatix,antoniolopez555
Fransteller,antoniolopez555
Albabr9,antoniolopez555
omartinalvarez,antoniolopez555
maitebdn,antoniolopez555
Marta_Sibina,antoniolopez555
catvotagarzon,antoniolopez555
Kolibriki,antoniolopez555
ShaColau,antoniolopez555
Tamarillo3,antoniolopez555
comunistes_cat,antoniolopez555
Abelferac,antoniolopez555
ogu4je,antoniolopez555
gosdiogenes,antoniolopez555
AvantComunistes,antoniolopez555
aracomunistes,antoniolopez555
mireia_rovira,antoniolopez555
mvidal80,antoniolopez555
davidrma77,antoniolopez555
AlonsoCefe,antoniolopez555
comunistescat,antoniolopez555
SalvaTorres3,antoniolopez555
MarcNanuve,antoniolopez555
AlbanoDante76,antoniolopez555
alicia_valencia,antoniolopez555
a_mallol,antoniolopez555
mmorilla_,antoniolopez555
SanIllescas,antoniolopez555
Leti_PAH,antoniolopez555
icveuialh,antoniolopez555
arqueoleg,antoniolopez555
euiavallesor,antoniolopez555
euia_elvendrell,antoniolopez555
vietnamitas,antoniolopez555
AlfredoClemenza,antoniolopez555
euroalternativa,antoniolopez555
PSUC_CGironines,antoniolopez555
revoltaeuia,antoniolopez555
kaluroja,antoniolopez555
IreneAldabert,antoniolopez555
andrea14429,antoniolopez555
gregobelmonte,antoniolopez555
dilleu,antoniolopez555
JLoSantin,antoniolopez555
riveraajl,antoniolopez555
molletambcuba,antoniolopez555
piulitica,antoniolopez555
sumantcat,antoniolopez555
grescaroja,antoniolopez555
fun_alternativa,antoniolopez555
pcdecatalunya,antoniolopez555
AnnaGonzlezMont,antoniolopez555
icvsantacoloma,antoniolopez555
TOGICA,antoniolopez555
comunistes,antoniolopez555
la_nueralcharro,antoniolopez555
euiabdv,antoniolopez555
noemige78,antoniolopez555
Euia_Maresme,antoniolopez555
DavidM1917,antoniolopez555
XavierGonzalbez,antoniolopez555
ToniCamposAlos,antoniolopez555
aPelRoig,antoniolopez555
jonerrepubli,antoniolopez555
AntonioArnau1,antoniolopez555
gtellez1,antoniolopez555
valorena,antoniolopez555
ivannieto80,antoniolopez555
pacomorales,antoniolopez555
joanmena,antoniolopez555
marcosortegac,antoniolopez555
ensanro,antoniolopez555
JosepLlabina,antoniolopez555
EUiAdeLH,antoniolopez555
EsquerraOberta,antoniolopez555
SyrizaCatalana,antoniolopez555
defensanitatBV,antoniolopez555
noticiessirius,antoniolopez555
JordiMirallesCo,antoniolopez555
MarisolGuanyem,antoniolopez555
Astallon,antoniolopez555
Alf_Red73,antoniolopez555
tonisalado,antoniolopez555
AndruLlabi,antoniolopez555
EuiaSantaColoma,antoniolopez555
PaulaRuMar,antoniolopez555
laurora_cat,antoniolopez555
Albert_Gramsci,antoniolopez555
eulliria,antoniolopez555
montserrat_tura,antoniolopez555
euia_osona,antoniolopez555
iuvillamalea,antoniolopez555
javi__rivera,antoniolopez555
oussedik,antoniolopez555
davidprietoc,antoniolopez555
alfredocleco,antoniolopez555
trencaelsilenci,antoniolopez555
iescudero,antoniolopez555
albadlo,antoniolopez555
NUET,antoniolopez555
_JM_RS,antoniolopez555
jcc_cat,antoniolopez555
alternativajove,antoniolopez555
elferranet,antoniolopez555
UnitatvsRacisme,antoniolopez555
sanchomdv,antoniolopez555
elpce,antoniolopez555
angelsmcastells,antoniolopez555
IU_Hortaleza,antoniolopez555
juanmapaton,antoniolopez555
EUiA_cat,antoniolopez555
antoniolopez555,CdelBarrio
catvotagarzon,CdelBarrio
CSQEPViladecans,CdelBarrio
defensanitatBV,CdelBarrio
ShaColau,CdelBarrio
Revolucio_Demos,CdelBarrio
MarisolGuanyem,CdelBarrio
comunistes_cat,CdelBarrio
