Source,Target,Weight
_mundus,felipe_sicilia,0.026467203682393557
_mundus,PiliCancela,0.061565017261219795
_mundus,SSumelzo,0.08745684695051784
_mundus,cesarluena,0.045454545454545456
_mundus,antoniotrevin,0.056962025316455694
_mundus,JaumeMoyaM,0.2238204833141542
_mundus,TeoGarciaEgea,0.02474108170310702
_mundus,AntonioHurtado,0.03049482163406214
_mundus,Irene_Montero_,0.23935558112773303
_mundus,AnaZurita7,0.014384349827387802
_mundus,VeraNoelia,0.12025316455696203
_mundus,lidiaguinart,0.09321058688147296
_mundus,FernanVello,0.039700805523590336
_mundus,vendrellj,0.23417721518987342
_mundus,PericoArrojo,0.08803222094361335
_mundus,pilarmarcosd,0.07307249712313003
_mundus,ionebelarra,0.2042577675489068
_mundus,FranciscoIgea,0.020713463751438434
_mundus,Carre1Ascension,0.004602991944764097
_mundus,PabloBellido_Az,0.05005753739930955
_mundus,odonelorza2011,0.07364787111622555
_mundus,mdcospedal,0.014959723820483314
_mundus,perejoanpons,0.09263521288837745
_mundus,IgnasiCandela,0.10529344073647871
_mundus,JuLMilla,0.05638665132336018
_mundus,jaimedeolano,0.02474108170310702
_mundus,micaela_navarro,0.01726121979286536
_mundus,AAlvarezAlvarez,0.05983889528193326
_mundus,joanmena,0.17088607594936708
_mundus,joanbaldovi,0.08227848101265822
_mundus,jsalvadorduch,0.1093210586881473
_mundus,pepecanonucia,0.0523590333716916
_mundus,antonipostius,0.025891829689298044
_mundus,AvelinoPP,0.01611047180667434
_mundus,LuisSalvador,0.005178365937859608
_mundus,herick_campos,0.03624856156501726
_mundus,ierrejon,0.24338319907940162
_mundus,EBataller,0.07652474108170311
_mundus,MayoralRafa,0.2675489067894131
_mundus,mrhciudadanos,0.039125431530494824
_mundus,ma_bustamante84,0.035097813578826235
_mundus,MartaGlezVzqz,0.03567318757192175
_mundus,emilio_delrio,0.012658227848101266
_mundus,MLorenzo2018,0.00805523590333717
_mundus,mapaniagua,0.010356731875719217
_mundus,BeatrizEscu,0.02819332566168009
_mundus,BienveDeArriba,0.01380897583429229
_mundus,juanmalpr,0.1720368239355581
_mundus,EvaGSempere,0.06444188722669736
_mundus,Pablo_Iglesias_,0.24510932105868816
_mundus,diego__clemente,0.03394706559263521
_mundus,anamarcelloana,0.14441887226697353
_mundus,Hernanzsofia,0.03279631760644419
_mundus,estercapella,0.11104718066743383
_mundus,miriamnoguerasM,0.0379746835443038
_mundus,VirginiaSalmeCs,0.01611047180667434
_mundus,mariagv,0.039700805523590336
_mundus,emeterina,0.00863060989643268
_mundus,pedroacedo,0.0023014959723820483
_mundus,Guadalupem1960,0.05868814729574223
